enhancer_id	size	covered	sum	mean0	mean	dataset_label	genome_build_quant	quant_file	factor	source_db	series_accession	sample_accession	run_accession	assay_type	tissue	limb_type	dev_stage	genotype	replicate	control_accession	genome_build	file_type	download_url	preferred_use	reason_if_not_score	notes	rank_desc_mean0	percentile_rank
mm1889	5399	3899	7558.0	1.39989	1.93845	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		7.0	0.5
CNE14_hs1586_mm1977	1119	1119	5749.0	5.13762	5.13762	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		1.0	1.0
mm2018	5256	4478	12108.0	2.30365	2.70389	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		4.0	0.75
CNE18	700	640	2438.0	3.48286	3.80938	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		2.0	0.9166666666666666
CNE19	613	563	1857.0	3.02936	3.2984	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		3.0	0.8333333333333334
CNE21	690	587	1237.0	1.79275	2.10733	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		6.0	0.5833333333333334
CNE13	425	395	788.0	1.85412	1.99494	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		5.0	0.6666666666666666
mm2080	5250	2210	3780.0	0.72	1.71041	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		10.0	0.25
mm2176	5457	2266	2926.0	0.536192	1.29126	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		11.0	0.16666666666666666
mm1859	5188	2315	3775.0	0.727641	1.63067	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		9.0	0.3333333333333333
